127.0.0.1 - - [23/Aug/2017:23:03:40 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:03:41 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:03:41 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 200 16952
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:05:33 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:05:33 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:05:43 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:05:43 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:05:45 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:05:45 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:05:46 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:05:46 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:02 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:02 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:04 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:04 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:06 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:06 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:07 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:07 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:08 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:08 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:09 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:09 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:31 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:31 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:34 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:34 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:35 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:35 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:36 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:36 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:44 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:44 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:46 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:46 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:52 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:52 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:53 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:53 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:54 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:06:55 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:10:12 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:10:12 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:10:29 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:12:15 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:12:15 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:13:54 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:13:54 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:14:19 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:14:19 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:15:53 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:15:53 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:16:16 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:16:16 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:17:10 +0900] "GET /waxingShop/cssTest.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:17:10 +0900] "GET /waxingShop/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:21:42 +0900] "GET /waxingShop/cssTest02.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:21:42 +0900] "GET /waxingShop/css/animate.css HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:21:42 +0900] "GET /waxingShop/images/2.jpeg HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:21:42 +0900] "GET /waxingShop/images/1.jpeg HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:21:42 +0900] "GET /waxingShop/images/3.jpeg HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:21:57 +0900] "GET /waxingShop/cssTest02.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:21:57 +0900] "GET /waxingShop/images/1.jpg HTTP/1.1" 200 62301
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:21:57 +0900] "GET /waxingShop/images/2.jpg HTTP/1.1" 200 71523
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:21:57 +0900] "GET /waxingShop/images/3.jpg HTTP/1.1" 200 182488
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:00 +0900] "GET /waxingShop/cssTest02.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:00 +0900] "GET /waxingShop/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:00 +0900] "GET /waxingShop/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:00 +0900] "GET /waxingShop/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:00 +0900] "GET /waxingShop/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:03 +0900] "GET /waxingShop/cssTest02.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:03 +0900] "GET /waxingShop/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:03 +0900] "GET /waxingShop/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:03 +0900] "GET /waxingShop/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:03 +0900] "GET /waxingShop/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:35 +0900] "GET /waxingShop/cssTest02.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:35 +0900] "GET /waxingShop/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:35 +0900] "GET /waxingShop/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:35 +0900] "GET /waxingShop/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:35 +0900] "GET /waxingShop/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:38 +0900] "GET /waxingShop/cssTest02.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:38 +0900] "GET /waxingShop/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:38 +0900] "GET /waxingShop/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:38 +0900] "GET /waxingShop/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:38 +0900] "GET /waxingShop/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:39 +0900] "GET /waxingShop/cssTest02.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:39 +0900] "GET /waxingShop/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:39 +0900] "GET /waxingShop/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:39 +0900] "GET /waxingShop/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:39 +0900] "GET /waxingShop/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:41 +0900] "GET /waxingShop/cssTest02.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:41 +0900] "GET /waxingShop/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:41 +0900] "GET /waxingShop/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:41 +0900] "GET /waxingShop/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:23:22:41 +0900] "GET /waxingShop/images/2.jpg HTTP/1.1" 304 -
